filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1200,800,batik lasem,12,12,1200,800
10.jpg,2044,900,batik lasem,15,14,2028,885
10.jpg,255,197,batik lasem watu pecah,32,1,222,197
11.jpg,197,255,batik lasem watu pecah,1,31,197,222
12.jpg,194,194,batik lasem watu pecah,9,1,180,194
13.jpg,255,197,batik lasem watu pecah,33,1,222,197
1.jpg,198,255,batik lasem gunung ringgit,1,1,198,255
2.jpg,290,174,batik lasem gunung ringgit,1,1,290,174
3.jpg,225,225,batik lasem gunung ringgit,1,1,225,225
4.jpg,194,259,batik lasem gunung ringgit,2,3,194,259
5.jpg,194,259,batik lasem gunung ringgit,2,2,194,259
6.jpg,259,194,batik lasem gunung ringgit,1,1,259,194
11.jpg,300,216,batik lasem,1,1,300,216
7.jpg,259,194,batik lasem gunung ringgit,1,1,259,194
8.jpg,225,225,batik lasem gunung ringgit,1,28,225,197
9.jpg,225,225,batik lasem gunung ringgit,1,1,225,225
10.jpg,310,163,batik lasem gunung ringgit,1,1,310,163
11.jpg,261,193,batik lasem gunung ringgit,1,1,261,193
12.jpg,225,225,batik lasem gunung ringgit,1,1,225,193
13.jpg,259,194,batik lasem gunung ringgit,14,1,229,194
14.jpg,211,239,batik lasem gunung ringgit,1,1,211,239
15.jpg,225,225,batik lasem gunung ringgit,1,1,225,225
16.jpg,225,225,batik lasem gunung ringgit,1,1,225,225
12.jpg,300,225,batik lasem,1,1,300,225
17.jpg,225,225,batik lasem gunung ringgit,30,29,197,210
18.jpg,259,194,batik lasem gunung ringgit,1,1,259,192
19.jpg,225,225,batik lasem gunung ringgit,38,1,206,225
20.jpg,259,194,batik lasem gunung ringgit,1,1,259,194
21.jpg,310,163,batik lasem gunung ringgit,1,1,310,163
22.jpg,188,268,batik lasem gunung ringgit,2,1,188,268
13.jpg,700,393,batik lasem,1,1,700,393
14.jpg,450,495,batik lasem,2,2,450,495
15.jpg,403,336,batik lasem,1,1,403,336
16.jpg,1190,1328,batik lasem,9,4,1190,1328
17.jpg,361,288,batik lasem,2,1,361,288
18.jpg,800,600,batik lasem,69,33,748,583
19.jpg,3264,2448,batik lasem,6,5,3264,2448
2.jpg,600,342,batik lasem,1,1,600,342
20.jpg,700,700,batik lasem,3,1,700,700
21.jpg,1000,1778,batik lasem,5,5,1000,1778
22.jpg,500,334,batik lasem,2,2,500,334
23.jpg,320,240,batik lasem,1,1,320,240
24.jpg,800,600,batik lasem,1,1,800,600
25.jpg,1000,1000,batik lasem,384,204,668,792
26.jpg,1200,900,batik lasem,4,3,1200,900
27.jpg,1000,1333,batik lasem,1,1,995,1325
