filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1280,960,batik megamendung,5,3,1280,960
10.jpg,640,480,batik megamendung,3,2,640,480
100.jpg,225,224,batik megamendung,2,1,225,224
101.jpg,223,226,batik megamendung,1,1,223,223
102.jpg,259,194,batik megamendung,1,1,259,194
103.jpg,259,194,batik megamendung,1,1,259,194
104.jpg,259,194,batik megamendung,12,14,257,178
105.jpg,247,204,batik megamendung,2,2,244,204
106.jpg,215,235,batik megamendung,2,1,215,218
107.jpg,216,233,batik megamendung,1,1,216,216
108.jpg,222,227,batik megamendung,1,1,222,218
109.jpg,224,224,batik megamendung,1,1,224,224
12.jpg,400,280,batik megamendung,1,1,398,277
110.jpg,265,190,batik megamendung,2,1,265,176
111.jpg,225,225,batik megamendung,2,1,225,203
112.jpg,259,194,batik megamendung,1,1,259,194
113.jpg,236,177,batik megamendung,1,1,236,177
114.jpg,236,177,batik megamendung,1,1,236,177
1.jpg,225,225,batik megamendung,1,1,225,225
2.jpg,194,260,batik megamendung,1,1,194,260
3.jpg,290,174,batik megamendung,1,1,290,174
4.jpg,259,194,batik megamendung,1,1,259,194
5.jpg,259,194,batik megamendung,1,1,259,194
13.jpg,2560,1920,batik megamendung,9,4,2560,1920
6.jpg,268,188,batik megamendung,1,1,268,188
7.jpg,259,194,batik megamendung,1,1,259,194
8.jpg,318,159,batik megamendung,1,1,318,159
9.jpg,300,168,batik megamendung,1,1,300,168
10.jpg,308,164,batik megamendung,1,1,308,164
11.jpg,333,151,batik megamendung,1,1,333,151
12.jpg,107,74,batik megamendung,1,1,107,74
13.jpg,108,73,batik megamendung,1,1,108,73
14.jpg,114,75,batik megamendung,1,1,114,75
15.jpg,107,75,batik megamendung,1,1,107,75
14.jpg,2816,2112,batik megamendung,8,1,2816,2112
16.jpg,105,75,batik megamendung,1,1,105,75
17.jpg,114,70,batik megamendung,1,1,114,70
18.jpg,225,225,batik megamendung,1,1,225,225
19.jpg,259,194,batik megamendung,1,1,259,194
20.jpg,287,175,batik megamendung,1,1,287,175
21.jpg,259,195,batik megamendung,1,1,259,195
22.jpg,188,268,batik megamendung,1,1,188,268
23.jpg,190,266,batik megamendung,2,2,190,266
24.jpg,280,180,batik megamendung,1,2,280,180
25.jpg,211,136,batik megamendung,1,1,211,136
15.jpg,1300,944,batik megamendung,4,1,1300,944
26.jpg,268,188,batik megamendung,1,1,268,188
27.jpg,259,194,batik megamendung,1,1,259,194
28.jpg,259,194,batik megamendung,1,1,259,194
29.jpg,259,194,batik megamendung,1,1,259,194
30.jpg,259,194,batik megamendung,1,1,259,194
31.jpg,278,181,batik megamendung,1,1,278,181
32.jpg,270,186,batik megamendung,1,1,270,186
33.jpg,225,225,batik megamendung,1,1,225,225
34.jpg,242,208,batik megamendung,1,1,242,208
35.jpg,259,194,batik megamendung,1,1,259,194
16.jpg,2560,1920,batik megamendung,3,7,2560,1920
36.jpg,302,167,batik megamendung,1,1,302,167
37.jpg,287,175,batik megamendung,1,1,287,175
38.jpg,274,184,batik megamendung,2,1,274,184
39.jpg,225,225,batik megamendung,7,5,219,218
40.jpg,318,159,batik megamendung,2,1,318,159
41.jpg,286,176,batik megamendung,1,1,286,176
42.jpg,259,194,batik megamendung,1,1,258,193
43.jpg,299,168,batik megamendung,2,1,299,165
44.jpg,259,194,batik megamendung,2,1,259,193
45.jpg,259,194,batik megamendung,2,1,259,193
17.jpg,720,1280,batik megamendung,8,4,720,1280
46.jpg,243,207,batik megamendung,1,1,243,204
18.jpg,1300,1390,batik megamendung,1,1,1300,1294
19.jpg,673,373,batik megamendung,3,3,673,373
20.jpg,1400,1400,batik megamendung,4,10,1400,1400
2.jpg,2560,1920,batik megamendung,1,4,2560,1920
21.jpg,576,802,batik megamendung,7,2,571,796
22.jpg,400,300,batik megamendung,4,1,400,300
23.jpg,1300,1390,batik megamendung,5,1,1300,1301
24.jpg,580,435,batik megamendung,1,1,580,435
25.jpg,580,435,batik megamendung,2,1,580,435
26.jpg,400,300,batik megamendung,1,1,400,300
27.jpg,2560,1920,batik megamendung,6,4,2560,1920
28.jpg,640,360,batik megamendung,2,1,640,360
29.jpg,640,427,batik megamendung,2,1,640,427
30.jpg,960,1280,batik megamendung,1,1,956,1278
3.jpg,236,337,batik megamendung,1,1,236,337
31.jpg,736,736,batik megamendung,17,11,736,736
32.jpg,1200,1200,batik megamendung,15,16,1200,1200
33.jpg,578,600,batik megamendung,3,1,578,600
34.jpg,2800,2100,batik megamendung,13,8,2800,2100
36.jpg,800,1522,batik megamendung,4,3,800,1522
37.jpg,896,891,batik megamendung,6,5,896,891
38.jpg,800,1522,batik megamendung,7,5,800,1522
39.jpg,480,360,batik megamendung,2,45,480,315
40.jpg,580,386,batik megamendung,82,96,494,364
41.jpg,580,386,batik megamendung,96,98,489,363
4.jpg,512,384,batik megamendung,10,66,512,384
42.jpg,480,360,batik megamendung,1,45,480,313
43.jpg,580,386,batik megamendung,93,95,516,369
44.jpg,1024,768,batik megamendung,3,4,1024,768
45.jpg,1280,960,batik megamendung,4,3,1280,960
46.jpg,1330,1300,batik megamendung,5,4,1243,1300
47.jpg,712,435,batik megamendung,2,2,712,435
48.jpg,709,433,batik megamendung,1,2,709,433
47.jpg,219,230,batik megamendung,3,1,219,227
48.jpg,219,114,batik megamendung,1,1,219,112
49.jpg,259,194,batik megamendung,1,1,259,193
5.jpg,280,400,batik megamendung,1,1,280,400
50.jpg,259,194,batik megamendung,1,1,259,192
51.jpg,225,225,batik megamendung,2,1,225,223
52.jpg,268,188,batik megamendung,1,1,268,186
53.jpg,286,176,batik megamendung,53,37,231,137
54.jpg,180,280,batik megamendung,2,1,180,280
55.jpg,259,194,batik megamendung,1,1,259,192
